model,year,price,transmission,mileage,fueltype,tax,mpg,engineSize,brand
 A1,2017,12500,Manual,15735,Petrol,150,55.4,1.4,audi
 A6,2016,16500,Automatic,36203,Diesel,20,64.2,2,audi
 A1,2016,11000,Manual,29946,Petrol,30,55.4,1.4,audi
 A4,2017,16800,Automatic,25952,Diesel,145,67.3,2,audi
 A3,2019,17300,Manual,1998,Petrol,145,49.6,1,audi
 A1,2016,13900,Automatic,32260,Petrol,30,58.9,1.4,audi
 A6,2016,13250,Automatic,76788,Diesel,30,61.4,2,audi
 A4,2016,11750,Manual,75185,Diesel,20,70.6,2,audi
 A3,2015,10200,Manual,46112,Petrol,20,60.1,1.4,audi
 A1,2016,12000,Manual,22451,Petrol,30,55.4,1.4,audi
 A3,2017,16100,Manual,28955,Petrol,145,58.9,1.4,audi
 A6,2016,16500,Automatic,52198,Diesel,125,57.6,2,audi
 Q3,2016,17000,Manual,44915,Diesel,145,52.3,2,audi
 A3,2017,16400,Manual,21695,Petrol,30,58.9,1.4,audi
 A6,2015,15400,Manual,47348,Diesel,30,61.4,2,audi
 A3,2017,14500,Automatic,26156,Petrol,145,58.9,1.4,audi
 Q3,2016,15700,Automatic,28396,Diesel,145,53.3,2,audi
 A3,2014,13900,Automatic,30516,Petrol,30,56.5,1.4,audi
 Q5,2016,19000,Automatic,37652,Diesel,200,47.1,2,audi
 Q3,2014,17000,Manual,34110,Petrol,145,47.9,1.4,audi
 A5,2017,17300,Automatic,37100,Diesel,145,67.3,2,audi
 Q5,2016,20200,Automatic,23714,Diesel,200,47.1,2,audi
 A5,2017,22500,Automatic,21649,Diesel,145,58.9,3,audi
 A6,2015,17500,Automatic,62748,Diesel,150,53.3,3,audi
 Q5,2016,20000,Automatic,23789,Diesel,200,47.1,2,audi
 A4,2017,18500,Automatic,17418,Diesel,145,62.8,2,audi
 A5,2017,19500,Automatic,33300,Diesel,145,61.4,2,audi
 A1,2018,15800,Manual,10793,Petrol,145,56.5,1.4,audi
 A4,2018,17200,Automatic,25138,Diesel,145,70.6,2,audi
 X2,2019,35999,Automatic,6026,Petrol,145,34,2,BMW
 5 Series,2019,31444,Automatic,2404,Diesel,145,65.7,2,BMW
 5 Series,2019,34999,Automatic,7195,Diesel,145,60.1,2,BMW
 3 Series,2019,26995,Semi-Auto,10624,Petrol,150,42.2,2,BMW
 5 Series,2019,25995,Semi-Auto,7554,Petrol,150,50.4,2,BMW
 3 Series,2019,26995,Semi-Auto,12399,Diesel,150,52.3,2,BMW
 3 Series,2019,26995,Semi-Auto,8021,Diesel,150,52.3,2,BMW
 3 Series,2019,27888,Semi-Auto,10622,Diesel,NULL,52.3,2,BMW
 3 Series,2019,24500,Semi-Auto,10125,Petrol,150,47.9,2,BMW
 3 Series,2019,24995,Semi-Auto,7585,Petrol,150,47.9,2,BMW
 3 Series,2020,32995,Automatic,4000,Diesel,145,50.4,2,BMW
 1 Series,2020,NULL,Automatic,1500,Diesel,145,51.4,2,BMW
 X3,2020,37999,Automatic,2789,Diesel,NULL,54.3,2,BMW
 X1,2020,32995,Automatic,1593,Diesel,145,50.4,2,BMW
 5 Series,2019,26990,Automatic,7824,Petrol,145,50.4,2,BMW
 X5,2019,44995,Automatic,6495,Diesel,145,36.7,3,BMW
 1 Series,2019,16500,Manual,5500,Diesel,145,72.4,1.5,BMW
 3 Series,2019,28888,Automatic,9267,Diesel,145,52.3,2,BMW
 X7,2019,62995,Automatic,11055,Diesel,145,33.6,3,BMW
 2 Series,2019,21950,Manual,5500,Petrol,145,42.2,1.5,BMW
 4 Series,2019,29999,Automatic,1500,Petrol,145,45.6,2,BMW
 1 Series,2019,20999,Semi-Auto,7351,Diesel,145,68.9,2,BMW
 2 Series,2015,14950,Manual,46555,Diesel,125,60.1,2,BMW
 3 Series,2019,23450,Semi-Auto,13713,Petrol,150,48.7,2,BMW
 3 Series,2020,33995,Automatic,10,Diesel,145,50.4,2,BMW
 3 Series,2020,42995,Automatic,7500,Petrol,145,33.6,3,BMW
 1 Series,2020,34999,Automatic,197,Diesel,145,48.7,2,BMW
 Z4,2020,35995,Automatic,2500,Petrol,145,38.7,2,BMW
 8 Series,2020,74995,Semi-Auto,4500,Diesel,145,26.7,3,BMW
 7 Series,2020,53995,Semi-Auto,3500,Diesel,145,42.2,3,BMW
 X3,2013,15000,Semi-Auto,54150,Diesel,165,50.4,2,BMW
 i3,2017,21444,Automatic,22063,Hybrid,0,470.8,0,BMW
 1 Series,2018,23750,Semi-Auto,11941,Petrol,145,39.8,3,BMW
 1 Series,2018,14999,Manual,12955,Diesel,145,51.4,1.5,BMW
 1 Series,2017,15850,Manual,39806,Diesel,145,62.8,2,BMW
 Fiesta,2017,9750,Manual,6732,Petrol,150,64.2,1.1,Ford
 Fiesta,2015,10950,Manual,21712,Petrol,150,47.9,1.6,Ford
 Focus,2020,20500,Automatic,1868,Petrol,150,40.9,1.5,Ford
 Focus,2017,10500,Manual,33511,Petrol,150,60.1,1,Ford
 Fiesta,2020,14500,Manual,100,Petrol,150,56.5,1,Ford
 Fiesta,2020,14950,Manual,100,Petrol,145,56.5,1,Ford
